Student,LPIPS,SSIM
112598048.png,0.4604923725128174,0.654893478141403
112598071.png,0.5122387409210205,0.6466879904169386
112598083.png,0.5143082141876221,0.6267619098164087
110590029.png,0.523872435092926,0.7048648543786786
109590052.png,0.5614032745361328,0.6469832042912429
112598075.png,0.564154326915741,0.540104531982043
109590057.png,0.5774139165878296,0.6633721087925981
